trail	length	species
1	181	trail-length
2	145	trail-length
3	73	trail-length
4	64	trail-length
5	45	trail-length
6	43	trail-length
7	38	trail-length
8	26	trail-length
9	17	trail-length
10	21	trail-length
11	20	trail-length
12	21	trail-length
13	5	trail-length
14	12	trail-length
15	9	trail-length
16	6	trail-length
17	8	trail-length
18	6	trail-length
19	9	trail-length
20	1	trail-length
21	7	trail-length
22	5	trail-length
23	4	trail-length
24	3	trail-length
25	1	trail-length
26	3	trail-length
27	1	trail-length
28	2	trail-length
29	1	trail-length
30	0	trail-length
31	0	trail-length
32	0	trail-length
33	1	trail-length
34	1	trail-length
>34	3	trail-length
